# ============================================================================
# dec_disk_media_types.tsv -- DEC disk media geometry reference for EmulatR
# ============================================================================
# All blocks are 512 bytes. total_lbn = sec_trk * heads * cyl.
# SCSI: sec_trk marked ~ is nominal (zone-bit recording); READ CAPACITY total
#       is authoritative, CHS is synthetic (MODE SENSE pages 3/4).
# SDI (MSCP, RA-series): no host-visible CHS; host addresses by LBN and reads
#       a packed media-type identifier. Geometry below is physical layout only.
# DSSI (RF-series) and LESI (RC25): legacy VAX-era; not on the DS10 boot path.
# IDE (dqa): not modeled here -- geometry comes from IdeDisk IDENTIFY DEVICE.
# Capacity column is the marketed/nominal figure; total_lbn is the exact value.
# ============================================================================
# model	iface	sec_trk	heads	cyl	total_lbn	block_bytes	capacity	oem_or_note
RZ22	scsi	33	4	776	102432	512	51M	Conner CP350
RZ23	scsi	33	8	776	204864	512	102M	Conner CP3100
RZ23L	scsi	39	4	1524	237744	512	118M	nominal_ZBR
RZ24	scsi	38	8	1348	409792	512	205M	Conner CP3200
RZ24L	scsi	66	8	1818	959904	512	240M	nominal_ZBR
RZ25	scsi	62	9	1492	832536	512	416M
RZ25L	scsi	79	8	1891	1195112	512	523M	nominal_ZBR
RZ26	scsi	57	14	2570	2050860	512	1.05G
RZ27	scsi	143	16	1366	3125408	512	1.6G	nominal_ZBR
RZ28	scsi	99	16	2595	4110480	512	2.1G	DEC_ST32550N_class
RZ28B	scsi	82	19	2626	4091308	512	2.1G	Seagate_ST12400N
RZ29	scsi	113	20	3720	8407200	512	4.2G	nominal_ZBR
RA60	sdi	42	4	2382	400176	512	205M	removable_pack
RA70	sdi	33	11	1507	547041	512	280M
RA71	sdi	51	14	1915	1367310	512	684M
RA72	sdi	51	20	1915	1953300	512	1G
RA73	sdi	70	21	2667	3920490	512	2G
RA80	sdi	31	14	546	236964	512	124M
RA81	sdi	51	14	1248	891072	512	456M	456M_raw_446M_user
RA82	sdi	57	15	1423	1216665	512	608M
RA90	sdi	69	13	2649	2376153	512	1.2G	thin_film
RA92	sdi	69	13	3279	2941263	512	1.5G
RF30	dssi	37	6	1320	293040	512	143M
RF31	dssi	50	8	1861	744400	512	380M
RF71	dssi	37	16	1320	781440	512	390M
RF72	dssi	50	21	1861	1954050	512	1G
RC25	lesi	42	4	302	50736	512	26Mx2	fixed_plus_removable
ESE20	sdi	4	128	483	247296	512	120M	solid_state_synthetic

# ============================================================================
# DEVICE-NAME PREFIXES (STORAGE ONLY) -- VMS / SRM device-name classes
# ============================================================================
# The geometry rows above are keyed by drive MODEL (RZ29, RA82, ...).  These
# rows are keyed by the OS device-name PREFIX (the device CLASS the prefix
# implies).  Relationship: a model surfaces under a prefix per its interface --
# a SCSI RZ29 appears as DKA<n>:, an MSCP RA82 as DUA<n>:, an IDE disk as
# DQA<n>:.  EmulatR's DS10 boot disk is IDE => DQ (SRM "dqa0."); a SCSI disk on
# the aic78xx would be DK ("dka0.").  VMS device name = <prefix><ctrl-letter>
# <unit>: (e.g. DKA100: = DK, controller A, unit 100 = SCSI bus A / target 1).
#
# SCOPE: mass storage only -- disk, diskette, tape, optical-as-disk, container,
# medium changer, and storage ports/HBAs.  All non-storage prefixes from the
# source list are EXCLUDED (network EC/EF/EI/EW/EZ/FC/FX/XQ/XU..., terminals
# KB/T/TT/TX/VT/OP/MO/LT/FT/NTY/RT, printers LC/LP, mailbox MB, IPMI CM, ACPI
# SE, comms XA/XD/XF/XG/XI/XJ/XM, DECwindows GH, CI/cluster PA/PE, null NL).
# Card reader CR (unit-record input) is also excluded -- not mass storage.
# "(per src)"  = meaning taken verbatim from the supplied list, unverified.
# Columns: prefix  category  meaning  example
# ============================================================================
# prefix	category	meaning	example
DA	disk	InfoServer client virtual disk	DAD42:
DB	disk	RP05 / RP06 pack disk (VAX MASSBUS)	DBA0:
DG	disk	Fibre Channel disk	DGA100:
DI	disk	DSSI disk (RF-series)	DIA3:
DJ	disk	RA60 removable-pack disk (SDI)	DJA0:
DK	disk	SCSI disk	DKA100:
DL	disk	RL01 / RL02 cartridge disk (VAX)	DLA0:
DM	disk	RK06 / RK07 cartridge disk (VAX)	DMA0:
DP	disk	RP-series MASSBUS disk, alternate controller (per src; verify)	DPA0:
DQ	disk	IDE / PATA disk (VAX: RB02 / R80 cartridge)	DQA0:
DR	disk	SWXCR RAID (Mylex DAC960: KZESC/KZPSC/KZPAC); VAX RM03/RM05/RM80, RP07	DRA0:
DS	disk	Shadow / stripe virtual disk set	DSA0:
DU	disk	MSCP disk (UDA / HSC, RA-series)	DUA0:
CS	disk	Console storage device (console load medium)	CSA1:
DX	diskette	RX01 8-inch diskette (VAX)	DXA0:
DY	diskette	RX02 8-inch diskette (VAX)	DYA0:
DD	tape	TU58 DECtape II cartridge (VAX)	DDA0:
MF	tape	TU78 magnetic tape (VAX)	MFA0:
MG	tape	Fibre Channel tape	MGA300:
MK	tape	SCSI tape	MKA300:
MS	tape	TS11 magnetic tape (VAX)	MSA0:
MT	tape	TE16 / TU45 / TU77 magnetic tape (VAX)	MTA0:
MU	tape	TMSCP tape (TU81 / TK-series)	MUA0:
PT	tape	TU81 magnetic tape (VAX) (per src)	PTA0:
LD	container	LD container disk (file-backed virtual disk)	LDA1:
LM	container	LD container tape (file-backed virtual tape)	LMA0:
GG	changer	Medium changer / robotic loader (jukebox)	GGA0:
PK	port	SCSI / SAS port (host adapter)	PKA0:
FG	port	Fibre Channel host bus adapter	FGA0:
PU	port	UDA-50 MSCP disk controller (VAX)	PUA0:
