# ============================================================================
# GrainMasterV4.tsv -- per-grain dispatch and semantic table for EmulatR V4
# ============================================================================
# Project: EmulatR -- Alpha AXP / EV6 Architecture Emulator (V4)
# Copyright (C) 2025, 2026 eNVy Systems, Inc.  All rights reserved.
# Licensed under eNVy Systems Non-Commercial License v1.1
#
# Project Architect: Timothy Peer
# AI Collaboration:  Claude (Anthropic)
#
# Commercial use prohibited without separate license.
# Contact:        peert@envysys.com  |  https://envysys.com
# Documentation:  https://timothypeer.github.io/ASA-EMulatR-Project/
# ============================================================================
#
# Purpose
# -------
# Single source of truth for the GrainFactory codegen.  Each row describes
# one Alpha AXP operation: the encoding fields that identify it, the
# dispatch arm it lives in, the functional box that owns its leaf, and
# the semantic flags it carries on the InstructionGrain.
#
# Supersedes V3's GrainMaster.tsv (kept as historical reference; do not
# extend).  The V3 schema lacked a flags column, expressed personality
# via the "_64" mnemonic suffix, and contained duplicates and
# misclassifications that V4 codegen would refuse.
#
# Schema
# ------
# Tab-separated.  Lines starting with '#' are comments.  Blank lines
# are ignored.  Column order:
#
#   mnemonic        Alpha mnemonic; case-sensitive.  May repeat across
#                   rows when the same encoding exists under both PAL
#                   personalities -- distinguished by personality flags.
#
#   primaryOpcode   Hex; 0x00..0x3F.  6-bit primary opcode field [31:26].
#
#   subDecode       Hex; sub-decode field value.  0x0 when dispatchKind
#                   is Direct (no sub-decode).  Field width depends on
#                   dispatchKind:
#                       IntArith/IntLogical/IntShift/IntMul/ItFp
#                          7 bits  (encoded [11:5])
#                       FltIeee/FltLogical
#                          11 bits (encoded [15:5])
#                       Misc
#                          16 bits (encoded [15:0])
#                       JmpClass
#                          2 bits  (encoded [15:14])
#                       FpTiExt
#                          7 bits  (encoded [11:5])
#                       Pal
#                          26 bits (encoded [25:0])
#                       HwMfpr/HwLd/HwMtpr/HwSt
#                          0..16 bits depending on encoding (TBD)
#                       HwRei
#                          (no sub-decode)
#
#   dispatchKind    Direct | IntArith | IntLogical | IntShift | IntMul |
#                   ItFp | FltIeee | FltLogical | Misc | JmpClass |
#                   FpTiExt | Pal | HwMfpr | HwLd | HwMtpr | HwRei |
#                   HwSt | Reserved
#
#   format          Mem | Bra | Op | Fp | Pal | Hw | Jmp | Misc
#                   Must agree with the S_xxxFormat flag in the flags
#                   column; codegen verifies the join.
#
#   box             Ibox | Ebox | Fbox | Mbox | Cbox | PalBox
#                   Functional box that owns the leaf.  Lowered by
#                   codegen to a C++ namespace (eBox, fBox, mBox, cBox,
#                   iBox, palBox) and a directory under {box}Lib/grains/.
#
#   flags           Pipe-separated list of S_xxx flag names defined in
#                   SemanticFlags.tsv.  Codegen rejects rows that
#                   reference undefined flags or violate mutex groups.
#
#   notes           Optional prose; codegen ignores.
#
# ============================================================================
# Personality variants
# ============================================================================
# Some CALL_PAL function codes have different semantics under Tru64 vs
# OpenVMS PAL personalities.  Two ways to encode this:
#
#   - One row with both S_PalTru64 and S_PalVms set: encoding behaves
#     identically under both personalities (e.g., HALT).
#   - Two rows with the same (primaryOpcode, subDecode) pair, one
#     tagged S_PalTru64 and one tagged S_PalVms: encoding has distinct
#     leaf semantics per personality.  Codegen synthesizes leaf names
#     palBox::execXxx_tru64 and palBox::execXxx_vms, populates the
#     personality-specific PAL sub-tables (g_palTableTru64,
#     g_palTableVms) accordingly, and the CPU selects one at boot.
#
#   - Personality-agnostic instructions (the common case) set neither
#     flag.  Outside CALL_PAL, no row should set either flag.
#
# ============================================================================

mnemonic	primaryOpcode	subDecode	dispatchKind	format	box	flags	notes	leafBase

# ----------------------------------------------------------------------------
# CALL_PAL -- opcode 0x00
# ----------------------------------------------------------------------------
HALT	0x00	0x0000	Pal	Pal	PalBox	S_PalFormat|S_PalEntry|S_ChangesPC|S_Uncond|S_PalTru64|S_PalVms|S_PalLinux	halt processor; 3 personalities (AARM C-15: HALT/halt/halt)
BPT	0x00	0x0080	Pal	Pal	PalBox	S_PalFormat|S_PalEntry|S_ChangesPC|S_Uncond|S_PalTru64|S_PalVms|S_PalLinux	breakpoint trap; 3 personalities (AARM C-15: BPT/bpt/bpt)
CHME	0x00	0x0082	Pal	Pal	PalBox	S_PalFormat|S_PalEntry|S_ChangesPC|S_Uncond|S_PalVms	change mode to executive (VMS only)
CHMK	0x00	0x0083	Pal	Pal	PalBox	S_PalFormat|S_PalEntry|S_ChangesPC|S_Uncond|S_PalTru64|S_PalVms|S_PalLinux	change mode to kernel (Tru64+Linux: callsys) / VMS: CHMK; 3 personalities at opcode 0x83
LDQP	0x00	0x0003	Pal	Pal	PalBox	S_PalFormat|S_PalIntrinsic|S_WritesRa|S_WritesInt|S_PalVms	load quadword physical intrinsic; R0 := mem[R16] (8 bytes, physical addressing); VMS-only per AARM C-15 (Tru64/Linux: --)
STQP	0x00	0x0004	Pal	Pal	PalBox	S_PalFormat|S_PalIntrinsic|S_PalVms	store quadword physical intrinsic; mem[R16] := R17 (8 bytes, physical addressing); VMS-only per AARM C-15 (Tru64/Linux: --)
CSERVE	0x00	0x0009	Pal	Pal	PalBox	S_PalFormat|S_PalIntrinsic|S_WritesRa|S_WritesInt|S_PalTru64|S_PalVms|S_PalLinux	console service intrinsic; inline-executed, no PAL transfer; R16=func, R0=result; 3 personalities (VMS:CSERVE, Tru64+Linux:cserve)
MFPR_VPTB	0x00	0x0029	Pal	Pal	PalBox	S_PalFormat|S_PalIntrinsic|S_WritesRa|S_WritesInt|S_PalVms	read Virtual Page Table Base intrinsic; R0 := cpu.vptb; VMS-only per AARM C-15 (Tru64/Linux: --)
MTPR_VPTB	0x00	0x002A	Pal	Pal	PalBox	S_PalFormat|S_PalIntrinsic|S_PalVms	write Virtual Page Table Base intrinsic; cpu.vptb := R16; VMS-only per AARM C-15 (Tru64/Linux: --)
WTINT	0x00	0x003E	Pal	Pal	PalBox	S_PalFormat|S_PalIntrinsic|S_WritesRa|S_WritesInt|S_PalTru64|S_PalVms|S_PalLinux	wait for interrupt intrinsic; 3 personalities (AARM C-15: WTINT/wtint/wtint); V4 has no interrupt source so returns 0 in R0 immediately


# ----------------------------------------------------------------------------
# Memory-format direct dispatch -- opcodes 0x08..0x0F, 0x20..0x2F
# ----------------------------------------------------------------------------
LDA	0x08	0x0	Direct	Mem	Mbox	S_MemFormat|S_ReadsRb|S_WritesRa|S_ReadsInt|S_WritesInt	load address: Ra <- Rb + sext(disp); no memory access
LDAH	0x09	0x0	Direct	Mem	Mbox	S_MemFormat|S_ReadsRb|S_WritesRa|S_ReadsInt|S_WritesInt	load address high: Ra <- Rb + (sext(disp) << 16); no memory access
LDBU	0x0A	0x0	Direct	Mem	Mbox	S_MemFormat|S_ReadsRb|S_WritesRa|S_ReadsInt|S_WritesInt|S_Load|S_Cacheable	load byte unsigned: Ra <- zero_extend(Mem[EA]<7:0>)
LDQ_U	0x0B	0x0	Direct	Mem	Mbox	S_MemFormat|S_ReadsRb|S_WritesRa|S_ReadsInt|S_WritesInt|S_Load|S_Cacheable	load quadword unaligned: EA force-aligned by clearing low 3 bits
LDWU	0x0C	0x0	Direct	Mem	Mbox	S_MemFormat|S_ReadsRb|S_WritesRa|S_ReadsInt|S_WritesInt|S_Load|S_Cacheable	load word unsigned: Ra <- zero_extend(Mem[EA]<15:0>)
