name,linked_addr
get_pte,0x0016a900
probex,0x0016aa08
prober,0x0016aa50
probew,0x0016aa30
virtual_to_physical,0x0016a9e8
physcheck,0x0016a9a0
kseg0_to_native,0x0016a990
native_to_kseg0,0x0016a980
vtop,0x0016a970
ptov,0x0016a960
ansi_parser,0x0016ab08
next_ansi_state,0x0016aac8
sequence_init,0x0016aa80
process_parameter,0x0016aab0
process_intermediate,0x0016aa70
get_keycode,0x0016ab28
chattributes,0x0016ab90
csi,0x0016abc0
erase,0x0016aba0
esc,0x0016ab80
aputchar,0x0016abe8
scroll,0x0016ab60
atoi,0x0016ac70
common_convert,0x0016ac20
xtoi,0x0016ac90
str_dyninit,0x0016acb0
str_dyncat,0x0016b520
yy_lex,0x0016b110
yy_get,0x0016b000
install_history,0x0016afa0
yy_put,0x0016b098
yy_unget,0x0016afe0
yy_sdt,0x0016b0f0
yy_word,0x0016b0b8
yy_reset,0x0016b3d8
yy_backslash_count,0x0016b0a8
exec_andor,0x0016b900
exec_case,0x0016b8b0
exec_command_list,0x0016b9b0
exec_command_sequence,0x0016b9e0
exec_for,0x0016b880
exec_if,0x0016b860
exec_null,0x0016b850
exec_pipe,0x0016b800
exec_simple,0x0016b7a0
exec_loop,0x0016b780
exec_word,0x0016b740
node_add,0x0016b220
node_make_room,0x0016af50
node_datum,0x0016af80
node_create,0x0016b170
node_render,0x0016b980
sh_parsub,0x0016b6e0
free_ptrs,0x0016b700
free_argcv,0x0016b720
sh_routine,0x0016b470
sh_flush,0x0016ae60
sh_tag,0x0016b450
rule_top,0x0016b3b8
inherit,0x0016aea0
sh_accept,0x0016af30
syntax_error,0x0016aed0
sh_match,0x0016b130
match_keyword,0x0016b1f0
rule_command_list,0x0016b2a8
rule_command_sequence,0x0016b378
rule_andor,0x0016b2d0
rule_pipe,0x0016b2f8
rule_command,0x0016b320
rule_name,0x0016b270
rule_word_list,0x0016b250
rule_term,0x0016b1d0
rule_case,0x0016b398
rule_else_part,0x0016b358
rule_simple_command,0x0016b190
rule_word,0x0016b150
rule_pattern,0x0016b1b0
sh_makesubshell,0x0016ae30
exec_wait_kids,0x0016b940
exec_broadcast,0x0016b920
sh_register,0x0016acf0
sh_cmdsub,0x0016b5c0
sh_blank,0x0016ae10
sh_genfiles,0x0016ada0
sh_quote,0x0016ad48
sh_par_xlate,0x0016b690
skip_doublequote,0x0016ae00
sh_genfiles_installed,0x0016ad58
get_raw_input_buffer,0x0016ace0
shell_startup,0x0016bb00
sh,0x0016ba00
shell_cmd,0x0016bb98
mk_dynamic,0x0016ba30
sh_request_exit,0x0016baf0
controlc_register,0x0016ba80
sh_cmd,0x0016bc30
