name,entry
get_pte,0x00042830
probex,0x00042a90
prober,0x00042b20
probew,0x00042b60
virtual_to_physical,0x00042ba0
physcheck,0x00042c40
kseg0_to_native,0x00042cf8
native_to_kseg0,0x00042d08
vtop,0x00042d18
ptov,0x00042d20
ansi_parser,0x00042d30
next_ansi_state,0x00043198
sequence_init,0x00042fc0
process_parameter,0x000430a0
process_intermediate,0x00043058
get_keycode,0x00043260
chattributes,0x00043bf0
csi,0x00043718
erase,0x00043a40
esc,0x00043a00
aputchar,0x00043350
scroll,0x000435c8
atoi,0x00043c70
common_convert,0x00043cf0
xtoi,0x00043cb0
str_dyninit,0x00043f70
str_dyncat,0x00043fd0
yy_lex,0x000440d8
yy_get,0x00044858
install_history,0x000443c8
yy_put,0x00044ad8
yy_unget,0x00044a68
yy_sdt,0x00044b08
yy_word,0x00044630
yy_reset,0x00044518
yy_backslash_count,0x00044820
exec_andor,0x00046e78
exec_case,0x00046ff8
exec_command_list,0x000469d0
exec_command_sequence,0x000468f8
exec_for,0x00047230
exec_if,0x00047390
exec_null,0x000474d0
exec_pipe,0x000474e8
exec_simple,0x00047848
exec_loop,0x00047d48
exec_word,0x00047e98
node_add,0x00044bc0
node_make_room,0x00044cd0
node_datum,0x00044c70
node_create,0x00044d38
node_render,0x00044de8
sh_parsub,0x000485e0
free_ptrs,0x00044f58
free_argcv,0x00044fe8
sh_routine,0x00045048
sh_flush,0x00045548
sh_tag,0x00045488
rule_top,0x000457e8
inherit,0x000480f8
sh_accept,0x00045618
syntax_error,0x00045750
sh_match,0x00045658
match_keyword,0x000456c0
rule_command_list,0x00045998
rule_command_sequence,0x000458a8
rule_andor,0x00045af0
rule_pipe,0x00045c28
rule_command,0x00045d38
rule_name,0x00046748
rule_word_list,0x000466a0
rule_term,0x00046888
rule_case,0x00046290
rule_else_part,0x000464b0
rule_simple_command,0x00046128
rule_word,0x00046618
rule_pattern,0x00046838
sh_makesubshell,0x00049090
exec_wait_kids,0x00046cc0
exec_broadcast,0x00046dc8
sh_register,0x00049740
sh_cmdsub,0x00048ad8
sh_blank,0x00049138
sh_genfiles,0x00049498
sh_quote,0x00049618
sh_par_xlate,0x00048228
skip_doublequote,0x000493d0
sh_genfiles_installed,0x00049410
get_raw_input_buffer,0x000497e8
shell_startup,0x000499b8
sh,0x000497f0
shell_cmd,0x00049828
mk_dynamic,0x00049b70
sh_request_exit,0x00049a90
controlc_register,0x00049aa0
sh_cmd,0x00049bf0
kill,0x00049c28
exit_cmd,0x00049cc8
break_cmd,0x00049da0
boot_reset,0x00049e60
eeprom_write_boot_args,0x0004a150
nvr_set_expected_boot,0x0004a400
eeprom_read_boot_args,0x00049ef0
nvr_set_expected_init,0x0004a440
nvr_boot_expected,0x0004a480
