name,entry
get_pte,0x00043af0
probex,0x00043d20
prober,0x00043da0
probew,0x00043de0
virtual_to_physical,0x00043e20
physcheck,0x00043eb0
kseg0_to_native,0x00043f70
native_to_kseg0,0x00043f80
vtop,0x00043f90
ptov,0x00043fa0
init_flash_rom,0x00044440
read_flash_rom,0x00044590
write_flash_rom,0x00044650
ansi_parser,0x00044860
sequence_init,0x00044b10
process_intermediate,0x00044bb0
process_parameter,0x00044c10
next_ansi_state,0x00044d30
get_keycode,0x00044e00
aputchar,0x00044f00
scroll,0x00045190
csi,0x00045300
esc,0x00045620
erase,0x00045670
chattributes,0x00045830
atoi,0x000458b0
xtoi,0x000458f0
common_convert,0x00045930
boot_reset,0x00045c00
eeprom_read_boot_args,0x00045c80
eeprom_write_boot_args,0x00045ee0
nvr_set_expected_boot,0x00046220
nvr_set_expected_init,0x00046260
nvr_boot_expected,0x000462a0
nvr_init_expected,0x00046320
isa_checksum_header,0x000463a0
build_isa,0x000463e0
krn$_callback,0x000465c0
cb_get_ttfp,0x00046620
cb_validate_fp,0x000466e0
cb_getc,0x00046720
cb_puts,0x00046900
cb_process_keycode,0x00046af0
cb_reset_term,0x00046b30
cb_set_term_int,0x00046b40
cb_set_term_ctl,0x00046e80
cb_open,0x00046f40
cb_close,0x00047460
cb_ioctl,0x000475a0
cb_read,0x00047830
cb_write,0x00047aa0
cb_set_env,0x00047d00
cb_reset_env,0x000480f0
cb_get_env,0x00048510
cb_save_env,0x00048810
cb_pswitch,0x00048950
srm_long2short,0x00048b50
fc_long2short,0x00048bd0
cb_write_eerom,0x000490e0
cb_read_eerom,0x000492c0
lib$ins_decode,0x000494a0
alpha_insdecode,0x00049570
parseopcode,0x00049690
parseops,0x000498f0
parsememoryoperands,0x00049940
parsebranchoperands,0x00049ab0
parseoperateoperands,0x00049bc0
parsefloatoperands,0x00049de0
parsesyncoperands,0x00049ea0
parsemtmfoperands,0x00049f70
translateintegerregister,0x0004a1a0
printintegerregister,0x0004a210
translatefloatregister,0x0004a340
translateimmediate,0x0004a430
appendhex,0x0004a470
appendrad50,0x0004a570
appendstring,0x0004a740
appendchar,0x0004a800
lib$ins_registers,0x0004a840
printinstructionregister,0x0004a990
printbsradr,0x0004aa80
printpdsymbol,0x0004aaf0
lib$sym_lookup,0x0004ab70
lib$ovly_display,0x0004ac70
lib$ovly_pc,0x0004ac80
lib$sym_pc,0x0004ac90
lib$walk_stack,0x0004ad40
lib$display_processes,0x0004afe0
lib$break_at_ovly,0x0004b060
lib$sym_expand_cb,0x0004b070
lib$sym_expand,0x0004b0d0
lib$dynamic,0x0004b1d0
lib$call_rtn,0x0004b250
lib$call_cmd,0x0004b390
lib$toggle,0x0004b6b0
diag_init,0x0004b6c0
diag_print_end_of_pass,0x0004c060
diag_print_startup,0x0004c190
diag_print_test_trace,0x0004c2f0
diag_start,0x0004c450
diag_rundown,0x0004c630
report_error,0x0004c7f0
report_error_lock,0x0004c8b0
report_error_release,0x0004cbe0
report_failure,0x0004cda0
log_failure,0x0004cdf0
report_failure_quad,0x0004ceb0
find_pcb_iob,0x0004d090
genyear,0x0004d190
non_modular_diag_write,0x0004d260
diag_ev_init,0x0004d3d0
dyn$_init,0x0004d500
dyn$_zfree,0x0004d710
dyn$_expand,0x0004d820
dyn$_badzone,0x0004d9b0
dyn$_chown,0x0004da00
dyn$_flush,0x0004dae0
malloc,0x0004db70
malloc_noown,0x0004dbb0
dyn$_malloc,0x0004dbf0
dyn_split,0x0004e0a0
free,0x0004e160
dyn$_free,0x0004e1e0
dyn_merge,0x0004e420
dyn$_realloc,0x0004e4e0
realloc,0x0004e640
realloc_noown,0x0004e680
dyn$_procstat,0x0004e6c0
dyn$_headers,0x0004e900
queue_validate_sorted,0x0004eb70
dyn$_consistency,0x0004ebb0
dyn$_validate,0x0004ef40
