function,file,string
aic78xx_init,aic78xx_driver.c,aic78xx_him_owner
aic78xx_init,aic78xx_driver.c,aic78xx
aic78xx_init_pb,aic78xx_driver.c,_host_id
aic78xx_init_pb,aic78xx_driver.c,aic78xx_owner
aic78xx_init_pb,aic78xx_driver.c,SCSI Bus ID %d
aic78xx_init_pb,aic78xx_driver.c,%-24s   %-8s   %24s
aic78xx_init_pb,aic78xx_driver.c,aic78xx_isr
aic78xx_init_pb,aic78xx_driver.c,_poll
aic78xx_reset,aic78xx_driver.c,scsi_sb_ready
aic78xx_scan_adapter,aic78xx_driver.c,...queueing pac\n
aic78xx_scan_adapter,aic78xx_driver.c,...pac completed\n
aic78xx_scan_adapter,aic78xx_driver.c,...allocating targets\n
aic78xx_scan_adapter,aic78xx_driver.c,found %d targets => 
aic78xx_scan_adapter,aic78xx_driver.c,"ID %d, LUN %d;  "
aic78xx_command,aic78xx_driver.c,pOsmIOB->iob.taskStatus = %x\n
aic78xx_poll,aic78xx_driver.c,_poll
dynamic,allocfree.c,Zone can't be extended\n
dynamic,allocfree.c,Default zone extended at the expense of memzone.\nUse INIT before booting\n
alloc_cmd,allocfree.c,00000000\n
alloc_cmd,allocfree.c,%08X\n
physcheck,alphamm.c,%X:  PFN out of range\n
AMD_erase_sector,amdflash_support.c,Erasing sector %d at offset %x\n
init_flash_rom,amdflash_support.c,\n%s\tsize = %x\terase data = %x\n
read_flash_rom,amdflash_support.c,Reading %d bytes from flash location %x\n
write_flash_rom,amdflash_support.c,"Writing %d bytes, %d block(s), starting at flash location %x\n"
dump_state,ansi.c,il=%d pv=%d err=%d\n
dump_state,ansi.c,c=%c pchar=%c\n
dump_state,ansi.c,pvc (%d) 
dump_state,ansi.c,ilc (%d) 
dump_state,ansi.c,%02X 
local_next,ansi.c,%02X 
main,ansi.c,ESC: %02X\n
main,ansi.c,CSI: %02X\n
main,ansi.c,SS2: %02X\n
main,ansi.c,SS3: %02X\n
main,ansi.c,DEF: %02X\n
kbin,ansi.c,KBIN assign failed.  code = %X\n
csi,aputchar.c,CSI %c %d %d\n
esc,aputchar.c,ESC %c\n
erase,aputchar.c,ERASE: final: %c p0: %d\n
apu_update,apu_check.c,updx_boot
apu_update,apu_check.c,boot pmem:%x\n
CheckForUpdate,apu_check.c,apu_updx
CheckForUpdate,apu_check.c,updx_boot
execute_script,apu_check.c,shell
execute_script,apu_check.c,updx_done
update,apu_test.c,updx_boot
update,apu_test.c,boot pmem:%x\n
CheckForUpdate,apu_test.c,updx
CheckForUpdate,apu_test.c,updx_boot
execute_script,apu_test.c,shell
execute_script,apu_test.c,updx_done
main,atoi.c,%08X %s\n
tlist_verify,blex.c,tlist [%d] is broken\n
yy_lex,blex.c,%25.25s	%2d %s\n
yy_lex,blex.c,newline
install_history,blex.c,"exceeding %d tokens, continuing\n"
yy_reset,blex.c,prompt
yy_reset,blex.c,LP%02d%s
yy_reset,blex.c,P%02d%s
yy_reset,blex.c,LP%02d>>>
yy_reset,blex.c,P%02d>>>
yy_reset,blex.c,P%02d>>>
yy_get,blex.c,\r\n
yy_unget,blex.c,yy_lex pushback error\n
nlist_verify,blex.c,nlist %d not valid (%d)\n
sh_routine,blex.c,^C\n
sh_tag,blex.c,sh_tag: prec %x dp %x\n
sh_tag,blex.c,shell couldn't tag %d memory blocks\n
sh_flush,blex.c,sh_flush: dp %x\n
syntax_error,blex.c,"syntax error: '%s' unexpected on line %d, file %s\n"
syntax_error,blex.c,newline
rule_command_sequence,blex.c,command_sequence
rule_command_list,blex.c,command_list
rule_andor,blex.c,andor
rule_pipe,blex.c,pipeline
rule_command,blex.c,command
rule_simple_command,blex.c,simple_command
rule_case,blex.c,case
rule_else_part,blex.c,else_part
rule_word,blex.c,word
rule_word_list,blex.c,word_list
rule_name,blex.c,name
rule_pattern,blex.c,pattern
rule_term,blex.c,term
_showrule,blex.c,rule_%s\n
exec_command_list,blex.c,sh_bg
exec_command_list,blex.c,command list default rule taken\n
exec_andor,blex.c,andor default rule taken\n
exec_case,blex.c,Poorly formed pattern in case statement
exec_pipe,blex.c,pipe
exec_pipe,blex.c,can't create a pipe
exec_pipe,blex.c,Can't open pipe %s\n
exec_simple,blex.c,<%s >%s 2>&%s\n
exec_simple,blex.c,%s: No such command\n
exec_simple,blex.c,%s is not executable\n
exec_simple,blex.c,child_done
_showexec,blex.c,exec_%s
_showexec,blex.c, %08X
sh_par_xlate,blex.c,%08X
sh_par_xlate,blex.c,%08X
sh_par_xlate,blex.c,%08X
sh_par_xlate,blex.c,%08X
sh_par_xlate,blex.c,%08X
sh_cmdsub,blex.c,sh_in_
sh_cmdsub,blex.c,sh_out_
sh_cmdsub,blex.c,shell can't open %s\n
sh_cmdsub,blex.c,cmd_sub
sh_cmdsub,blex.c,sh_cmdsub
sh_cmdsub,blex.c,shell can't open output file %s from command substitution\n
sh_makesubshell,blex.c,shell
show_expanded_args,blex.c, /%s/
boot_support,boot.c,p2_cnt
boot_support,boot.c,BOOT
boot_support,boot.c,\nUnknown system state.\n
boot_support,boot.c,System must be reset prior to boot.\n\n
boot_support,boot.c,\nInconsistent boot driver state.\n
boot_support,boot.c,System is configured with multiple partitions.\n
boot_support,boot.c,A complete INIT must be performed before rebooting.\n
boot_support,boot.c,System will be reset prior to boot.\n\n
boot_support,boot.c,"Partitions defined, but not started. Starting partitions now.\n"
boot_support,boot.c,GALAXY
boot_support,boot.c,Insufficient Heap for overlay decompression.\n
boot_support,boot.c,System will be reset prior to boot.\n
boot_support,boot.c,boot_reset
boot_support,boot.c,sys_model_num
boot_support,boot.c,\n* * * WARNING * * *\n
boot_support,boot.c,boot disallowed:\n
boot_support,boot.c,"System model number \""%s\"" does not agree with hardware configuration.\n\n"
boot_support,boot.c,\nboot disallowed: 
boot_support,boot.c,CPU Speed error\n
boot_support,boot.c,Unknown Board Type\n
boot_support,boot.c,%xh\n
boot_support,boot.c,\n\tAttempts to boot without P2 installed = %d\n\n
boot_support,boot.c,"\nHalt is or has been asserted, BOOT NOT POSSIBLE\n\n"
boot_support,boot.c,warning -- main memory zone is not free\n
boot_support,boot.c,boot_dev
boot_support,boot.c,bootdef_dev
boot_support,boot.c,boot_dev
boot_support,boot.c,boot_dev
boot_support,boot.c,boot_file
boot_support,boot.c,boot_osflags
boot_support,boot.c,usage is boot <device> [-file <file>] [-flags <flags>]\n
boot_support,boot.c,"\nRetrying, type ^C to abort...\n\n"
boot_sub,boot.c,Illegal memory configuration - booting disabled.\n
boot_sub,boot.c,Illegal KN7CD/E configuration - booting disabled.\n
boot_sub,boot.c,(boot %s%s%s%s%s)\n
boot_sub,boot.c, -file 
boot_sub,boot.c, -flags 
boot_sub,boot.c,failed to open %s\n
boot_sub,boot.c,srm_boot
boot_sub,boot.c,%.4s_protocols
boot_sub,boot.c,BOOTP
boot_sub,boot.c,bootp
boot_sub,boot.c,\nTrying MOP boot.\n
boot_sub,boot.c,mopdl
boot_sub,boot.c,\nTrying BOOTP boot.\n
boot_sub,boot.c,tftp:verbose
boot_sub,boot.c,unrecognized boot device type\n
boot_sub,boot.c,bootstrap failure\n
boot_sub,boot.c,bootstrap code read in\n
boot_sub,boot.c,booted_dev
boot_sub,boot.c,booted_file
boot_sub,boot.c,booted_osflags
boot_sub,boot.c,"base = %x, image_start = %x, image_bytes = %x\n"
boot_sub,boot.c,changing image_start to %x\n
boot_sub,boot.c,initializing HWRPB at %x\n
boot_sub,boot.c,GCT base = %x\n
boot_sub,boot.c,initializing page table at %x\n
boot_sub,boot.c,"Exceeded the number of allocated PTEs, continuing anyway.\n"
boot_sub,boot.c,initializing machine state\n
boot_sub,boot.c,setting affinity to the primary CPU\n
boot_sub,boot.c,ee_boot
boot_sub,boot.c,galaxy_isolate
boot_sub,boot.c,galaxy_isolate
boot_sub,boot.c,jumping to bootstrap code\n
boot_disk,boot.c,failed to read %s\n
boot_disk,boot.c,block 0 of %s is not a valid boot block\n
boot_disk,boot.c,block 0 of %s is a valid boot block\n
boot_disk,boot.c,reading %d blocks from %s\n
boot_disk,boot.c,failed to read %s\n
boot_disk,boot.c,failed to read %s\n
boot_tape,boot.c,failed to read %s\n
boot_tape,boot.c,VOL1
boot_tape,boot.c,%s is not an ANSI labeled tape\n
